,id,isin,cnyesId_new,cnyesId_old,FALSE,Unnamed: 5
4670,4670.0,LU0161616080,B030791,"B23,168",False,
4693,4693.0,LU0117841782,B030791,"B08,071",False,
4769,4769.0,LU0384422019,B030791,"B35,018",False,
4780,4780.0,LU0232558048,B030791,"B03,080",False,
4791,4791.0,IE00B19Z4449,"B25,075","B25,053",False,
4806,4806.0,LU0348805143,B030791,"B20,003",False,
4858,4858.0,LU1295554163,B030791,B1YwDR7,False,
4897,4897.0,IE00B19ZB219,"B24,072","B25,147",False,
4899,4899.0,LU0329760267,B030791,"B49,050",False,
4905,4905.0,LU0315181726,B030791,"B31,041",False,
4910,4910.0,LU0273164177,B030791,"B49,045",False,
4916,4916.0,LU0516375184,B030791,"B35,033",False,
4946,4946.0,SG9999001127,"B18,022","B18,005",False,
4965,4965.0,IE00B19Z5Y19,"B25,075","B25,134",False,
4968,4968.0,LU0757425094,B030791,"B10,026",False,
5007,5007.0,LU0048588163,B030791,"B14,039",False,
5018,5018.0,LU0345779606,B030791,"B27,010",False,
5036,5036.0,IE00BQJZX317,"B25,256","B25,257",False,
5040,5040.0,LU1035776241,B030791,"B03,604",False,
5111,5111.0,LU1882447268,B030791,"B32,173",False,
5146,5146.0,SG9999003461,"B18,028","B18,017",False,
5150,5150.0,LU0239020281,B030791,"B03,284",False,
5195,5195.0,SG9999001192,"B18,035","B18,003",False,
5211,5211.0,LU1882445726,B030791,"B32,107",False,
5215,5215.0,SG9999002521,"B18,027","B18,016",False,
5218,5218.0,IE0002361404,"B24,007","B43,016",False,
5227,5227.0,LU0316467660,B030791,"B23,170",False,
5232,5232.0,SG9999001051,"B18,041","B18,042",False,
5270,5270.0,LU0074935841,B030791,"B03,028",False,
5289,5289.0,LU1663931084,B030791,B10DhR4,False,
5340,5340.0,LU2187529263,B030791,B1I9TCU,False,
5365,5365.0,LU0137007026,B030791,"B53,008",False,
5380,5380.0,LU0997587166,B030791,"B14,260",False,
5394,5394.0,IE00B9LBKJ32,"B46,059","B43,008",False,
5411,5411.0,LU1013768855,B030791,"B03,530",False,
5429,5429.0,LU0048579410,B030791,"B14,015",False,
5442,5442.0,SG9999001176,"B18,012","B18,020",False,
5538,5538.0,IE00B1FRPP29,B610020,"B43,005",False,
5555,5555.0,LU0911036563,B030791,B1UJF6j,False,
5557,5557.0,LU0837968550,B030791,"B05,066",False,
5567,5567.0,LU0048621717,B030791,"B14,025",False,
5576,5576.0,IE00B19Z3Z85,"B25,152","B25,137",False,
5578,5578.0,LU0384426192,B030791,"B35,066",False,
5586,5586.0,LU1069347463,B030791,"B03,621",False,
5598,5598.0,LU0137006218,B030791,"B53,004",False,
5609,5609.0,SG9999001069,"B18,036","B18,008",False,
5619,5619.0,IE0034204671,"B24,007","B25,044",False,
5629,5629.0,LU0329760002,B030791,"B49,051",False,
5630,5630.0,IE00B9LB7V43,"B25,228","B43,010",False,
5635,5635.0,LU1035774113,B030791,"B03,601",False,
5639,5639.0,LU0236146774,B030791,"B49,008",False,
5670,5670.0,LU1244145550,B030791,"B31,129",False,
5681,5681.0,LU0329427503,B030791,"B57,015",False,
5691,5691.0,LU0232529619,B030791,"B03,183",False,
5694,5694.0,LU0868753731,B38bzxq,B1bfvlM,False,
5724,5724.0,LU1663886940,B030791,B1P30v0,False,
5748,5748.0,SG9999001051,"B18,041","B18,039",False,
5780,5780.0,LU0273157635,B030791,"B49,048",False,
5824,5824.0,LU1254583351,B030791,B3HRjS7,False,
5827,5827.0,LU0210302369,B030791,"B49,042",False,
5834,,,,,,263.0
